GOOG (GOOGLE INC),1031.89,-2.1799,
Nov 24 2013 @ 03:44 ET,Bid,1031.72,Ask,1031.89,Size,2x3,Vol,1254310,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Nov 670.00 (GOOG1322K670-X),0.0,0.0,359.80,363.50,0,0,13 Nov 670.00 (GOOG1322W670-X),0.0,0.0,0.0,1.65,0,0,
13 Nov 670.00 (GOOG1322K670-Y),0.0,0.0,359.30,364.30,0,0,13 Nov 670.00 (GOOG1322W670-Y),0.0,0.0,0.0,1.65,0,0,
13 Nov 675.00 (GOOG1322K675),0.0,0.0,354.80,358.70,0,0,13 Nov 675.00 (GOOG1322W675),0.0,0.0,0.0,1.65,0,0,
13 Nov 675.00 (GOOG1322K675-4),0.0,0.0,0.0,0.0,0,0,13 Nov 675.00 (GOOG1322W675-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 675.00 (GOOG1322K675-8),0.0,0.0,354.80,358.70,0,0,13 Nov 675.00 (GOOG1322W675-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 675.00 (GOOG1322K675-A),0.0,0.0,0.0,0.0,0,0,13 Nov 675.00 (GOOG1322W675-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 675.00 (GOOG1322K675-B),0.0,0.0,354.80,359.10,0,0,13 Nov 675.00 (GOOG1322W675-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 675.00 (GOOG1322K675-E),0.0,0.0,354.80,358.70,0,0,13 Nov 675.00 (GOOG1322W675-E),0.0,0.0,0.0,1.65,0,0,
13 Nov 675.00 (GOOG1322K675-I),0.0,0.0,354.80,358.70,0,0,13 Nov 675.00 (GOOG1322W675-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 675.00 (GOOG1322K675-J),0.0,0.0,354.30,358.90,0,0,13 Nov 675.00 (GOOG1322W675-J),0.0,0.0,0.0,5.00,0,0,
13 Nov 675.00 (GOOG1322K675-O),0.0,0.0,354.80,358.90,0,0,13 Nov 675.00 (GOOG1322W675-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 675.00 (GOOG1322K675-P),0.0,0.0,0.0,0.0,0,0,13 Nov 675.00 (GOOG1322W675-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 675.00 (GOOG1322K675-S),0.0,0.0,354.80,358.90,0,0,13 Nov 675.00 (GOOG1322W675-S),0.0,0.0,0.0,4.80,0,0,
13 Nov 675.00 (GOOG1322K675-X),0.0,0.0,354.80,358.70,0,0,13 Nov 675.00 (GOOG1322W675-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 675.00 (GOOG1322K675-Y),0.0,0.0,354.30,358.90,0,0,13 Nov 675.00 (GOOG1322W675-Y),0.0,0.0,0.0,1.65,0,0,
13 Nov 680.00 (GOOG1322K680),0.0,0.0,349.80,353.50,0,0,13 Nov 680.00 (GOOG1322W680),0.0,0.0,0.0,1.65,0,0,
13 Nov 680.00 (GOOG1322K680-4),0.0,0.0,0.0,0.0,0,0,13 Nov 680.00 (GOOG1322W680-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 680.00 (GOOG1322K680-8),0.0,0.0,349.80,353.90,0,0,13 Nov 680.00 (GOOG1322W680-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 680.00 (GOOG1322K680-A),0.0,0.0,0.0,0.0,0,0,13 Nov 680.00 (GOOG1322W680-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 680.00 (GOOG1322K680-B),0.0,0.0,349.80,354.10,0,0,13 Nov 680.00 (GOOG1322W680-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 680.00 (GOOG1322K680-E),0.0,0.0,349.80,353.90,0,0,13 Nov 680.00 (GOOG1322W680-E),0.0,0.0,0.0,1.65,0,0,
13 Nov 680.00 (GOOG1322K680-I),0.0,0.0,349.80,353.90,0,0,13 Nov 680.00 (GOOG1322W680-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 680.00 (GOOG1322K680-J),0.0,0.0,349.30,353.50,0,0,13 Nov 680.00 (GOOG1322W680-J),0.0,0.0,0.0,5.00,0,0,
13 Nov 680.00 (GOOG1322K680-O),0.0,0.0,349.80,353.50,0,0,13 Nov 680.00 (GOOG1322W680-O),0.0,0.0,0.0,2.35,0,0,
13 Nov 680.00 (GOOG1322K680-P),0.0,0.0,0.0,0.0,0,0,13 Nov 680.00 (GOOG1322W680-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 680.00 (GOOG1322K680-S),0.0,0.0,349.80,354.30,0,0,13 Nov 680.00 (GOOG1322W680-S),0.0,0.0,0.0,4.80,0,0,
13 Nov 680.00 (GOOG1322K680-X),0.0,0.0,349.80,353.50,0,0,13 Nov 680.00 (GOOG1322W680-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 680.00 (GOOG1322K680-Y),0.0,0.0,349.30,354.30,0,0,13 Nov 680.00 (GOOG1322W680-Y),0.0,0.0,0.0,1.65,0,0,
13 Nov 685.00 (GOOG1322K685),0.0,0.0,344.80,348.70,0,0,13 Nov 685.00 (GOOG1322W685),0.0,0.0,0.0,1.65,0,0,
13 Nov 685.00 (GOOG1322K685-4),0.0,0.0,0.0,0.0,0,0,13 Nov 685.00 (GOOG1322W685-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 685.00 (GOOG1322K685-8),0.0,0.0,344.80,348.70,0,0,13 Nov 685.00 (GOOG1322W685-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 685.00 (GOOG1322K685-A),0.0,0.0,0.0,0.0,0,0,13 Nov 685.00 (GOOG1322W685-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 685.00 (GOOG1322K685-B),0.0,0.0,344.80,349.10,0,0,13 Nov 685.00 (GOOG1322W685-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 685.00 (GOOG1322K685-E),0.0,0.0,344.80,348.70,0,0,13 Nov 685.00 (GOOG1322W685-E),0.0,0.0,0.0,1.65,0,0,
13 Nov 685.00 (GOOG1322K685-I),0.0,0.0,344.80,348.70,0,0,13 Nov 685.00 (GOOG1322W685-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 685.00 (GOOG1322K685-J),0.0,0.0,344.30,348.90,0,0,13 Nov 685.00 (GOOG1322W685-J),0.0,0.0,0.0,5.00,0,0,
13 Nov 685.00 (GOOG1322K685-O),0.0,0.0,344.80,348.90,0,0,13 Nov 685.00 (GOOG1322W685-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 685.00 (GOOG1322K685-P),0.0,0.0,0.0,0.0,0,0,13 Nov 685.00 (GOOG1322W685-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 685.00 (GOOG1322K685-S),0.0,0.0,344.80,348.90,0,0,13 Nov 685.00 (GOOG1322W685-S),0.0,0.0,0.0,4.80,0,0,
13 Nov 685.00 (GOOG1322K685-X),0.0,0.0,344.80,348.70,0,0,13 Nov 685.00 (GOOG1322W685-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 685.00 (GOOG1322K685-Y),0.0,0.0,343.90,348.90,0,0,13 Nov 685.00 (GOOG1322W685-Y),0.0,0.0,0.0,1.65,0,0,
13 Nov 690.00 (GOOG1322K690),0.0,0.0,339.80,343.70,0,0,13 Nov 690.00 (GOOG1322W690),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-4),0.0,0.0,0.0,0.0,0,0,13 Nov 690.00 (GOOG1322W690-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 690.00 (GOOG1322K690-8),0.0,0.0,339.80,343.70,0,0,13 Nov 690.00 (GOOG1322W690-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-A),0.0,0.0,0.0,0.0,0,0,13 Nov 690.00 (GOOG1322W690-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 690.00 (GOOG1322K690-B),0.0,0.0,339.80,344.10,0,0,13 Nov 690.00 (GOOG1322W690-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 690.00 (GOOG1322K690-E),0.0,0.0,339.80,343.70,0,0,13 Nov 690.00 (GOOG1322W690-E),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-I),0.0,0.0,339.80,343.70,0,0,13 Nov 690.00 (GOOG1322W690-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 690.00 (GOOG1322K690-J),0.0,0.0,339.30,343.90,0,0,13 Nov 690.00 (GOOG1322W690-J),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-O),0.0,0.0,339.80,343.90,0,0,13 Nov 690.00 (GOOG1322W690-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 690.00 (GOOG1322K690-P),0.0,0.0,0.0,0.0,0,0,13 Nov 690.00 (GOOG1322W690-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 690.00 (GOOG1322K690-S),0.0,0.0,339.80,343.90,0,0,13 Nov 690.00 (GOOG1322W690-S),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-X),0.0,0.0,339.80,343.70,0,0,13 Nov 690.00 (GOOG1322W690-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 690.00 (GOOG1322K690-Y),0.0,0.0,338.90,343.90,0,0,13 Nov 690.00 (GOOG1322W690-Y),0.0,0.0,0.0,1.70,0,0,
13 Nov 695.00 (GOOG1322K695),0.0,0.0,334.80,338.50,0,0,13 Nov 695.00 (GOOG1322W695),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-4),0.0,0.0,0.0,0.0,0,0,13 Nov 695.00 (GOOG1322W695-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 695.00 (GOOG1322K695-8),0.0,0.0,334.80,338.80,0,0,13 Nov 695.00 (GOOG1322W695-8),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-A),0.0,0.0,0.0,0.0,0,0,13 Nov 695.00 (GOOG1322W695-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 695.00 (GOOG1322K695-B),0.0,0.0,334.80,339.10,0,0,13 Nov 695.00 (GOOG1322W695-B),0.0,0.0,0.0,4.50,0,0,
13 Nov 695.00 (GOOG1322K695-E),0.0,0.0,334.80,338.50,0,0,13 Nov 695.00 (GOOG1322W695-E),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-I),0.0,0.0,334.80,338.80,0,0,13 Nov 695.00 (GOOG1322W695-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 695.00 (GOOG1322K695-J),0.0,0.0,334.30,338.50,0,0,13 Nov 695.00 (GOOG1322W695-J),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-O),0.0,0.0,334.80,338.50,0,0,13 Nov 695.00 (GOOG1322W695-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 695.00 (GOOG1322K695-P),0.0,0.0,0.0,0.0,0,0,13 Nov 695.00 (GOOG1322W695-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 695.00 (GOOG1322K695-S),0.0,0.0,334.80,339.30,0,0,13 Nov 695.00 (GOOG1322W695-S),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-X),0.0,0.0,334.80,338.50,0,0,13 Nov 695.00 (GOOG1322W695-X),0.0,0.0,0.0,1.65,0,0,
13 Nov 695.00 (GOOG1322K695-Y),0.0,0.0,334.30,339.30,0,0,13 Nov 695.00 (GOOG1322W695-Y),0.0,0.0,0.0,1.65,0,0,
13 Nov 700.00 (GOOG1322K700),0.0,0.0,329.80,333.50,0,0,13 Nov 700.00 (GOOG1322W700),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-4),0.0,0.0,0.0,0.0,0,0,13 Nov 700.00 (GOOG1322W700-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 700.00 (GOOG1322K700-8),0.0,0.0,329.80,333.80,0,0,13 Nov 700.00 (GOOG1322W700-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-A),0.0,0.0,0.0,0.0,0,0,13 Nov 700.00 (GOOG1322W700-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 700.00 (GOOG1322K700-B),0.0,0.0,329.80,334.10,0,0,13 Nov 700.00 (GOOG1322W700-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 700.00 (GOOG1322K700-E),0.0,0.0,329.80,333.50,0,0,13 Nov 700.00 (GOOG1322W700-E),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-I),0.0,0.0,329.80,333.80,0,0,13 Nov 700.00 (GOOG1322W700-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 700.00 (GOOG1322K700-J),0.0,0.0,329.30,333.50,0,0,13 Nov 700.00 (GOOG1322W700-J),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-O),0.0,0.0,329.80,333.50,0,0,13 Nov 700.00 (GOOG1322W700-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 700.00 (GOOG1322K700-P),0.0,0.0,0.0,0.0,0,0,13 Nov 700.00 (GOOG1322W700-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 700.00 (GOOG1322K700-S),0.0,0.0,329.80,334.30,0,0,13 Nov 700.00 (GOOG1322W700-S),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-X),0.0,0.0,329.80,333.50,0,0,13 Nov 700.00 (GOOG1322W700-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 700.00 (GOOG1322K700-Y),0.0,0.0,329.30,334.30,0,0,13 Nov 700.00 (GOOG1322W700-Y),0.0,0.0,0.0,1.70,0,0,
13 Nov 705.00 (GOOG1322K705),0.0,0.0,324.80,328.40,0,0,13 Nov 705.00 (GOOG1322W705),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-4),0.0,0.0,324.80,328.90,0,0,13 Nov 705.00 (GOOG1322W705-4),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-8),0.0,0.0,324.80,328.90,0,0,13 Nov 705.00 (GOOG1322W705-8),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-A),0.0,0.0,0.0,0.0,0,0,13 Nov 705.00 (GOOG1322W705-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 705.00 (GOOG1322K705-B),0.0,0.0,324.80,329.10,0,0,13 Nov 705.00 (GOOG1322W705-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 705.00 (GOOG1322K705-E),0.0,0.0,324.80,328.40,0,0,13 Nov 705.00 (GOOG1322W705-E),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-I),0.0,0.0,324.80,328.90,0,0,13 Nov 705.00 (GOOG1322W705-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 705.00 (GOOG1322K705-J),0.0,0.0,324.30,328.50,0,0,13 Nov 705.00 (GOOG1322W705-J),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-O),0.0,0.0,324.80,328.50,0,0,13 Nov 705.00 (GOOG1322W705-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 705.00 (GOOG1322K705-P),0.0,0.0,0.0,0.0,0,0,13 Nov 705.00 (GOOG1322W705-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 705.00 (GOOG1322K705-S),0.0,0.0,324.80,328.90,0,0,13 Nov 705.00 (GOOG1322W705-S),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-X),0.0,0.0,324.80,328.50,0,0,13 Nov 705.00 (GOOG1322W705-X),0.0,0.0,0.0,0.35,0,0,
13 Nov 705.00 (GOOG1322K705-Y),0.0,0.0,323.90,328.90,0,0,13 Nov 705.00 (GOOG1322W705-Y),0.0,0.0,0.0,0.35,0,0,
13 Nov 710.00 (GOOG1322K710),0.0,0.0,319.80,323.10,0,0,13 Nov 710.00 (GOOG1322W710),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-4),0.0,0.0,0.0,0.0,0,0,13 Nov 710.00 (GOOG1322W710-4),0.0,0.0,0.0,0.0,0,0,
13 Nov 710.00 (GOOG1322K710-8),0.0,0.0,319.80,323.90,0,0,13 Nov 710.00 (GOOG1322W710-8),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-A),0.0,0.0,0.0,0.0,0,0,13 Nov 710.00 (GOOG1322W710-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 710.00 (GOOG1322K710-B),0.0,0.0,319.80,323.10,0,0,13 Nov 710.00 (GOOG1322W710-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 710.00 (GOOG1322K710-E),0.0,0.0,319.80,323.40,0,0,13 Nov 710.00 (GOOG1322W710-E),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-I),0.0,0.0,319.80,323.90,0,0,13 Nov 710.00 (GOOG1322W710-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 710.00 (GOOG1322K710-J),0.0,0.0,319.30,323.50,0,0,13 Nov 710.00 (GOOG1322W710-J),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-O),0.0,0.0,319.80,323.50,0,0,13 Nov 710.00 (GOOG1322W710-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 710.00 (GOOG1322K710-P),0.0,0.0,0.0,0.0,0,0,13 Nov 710.00 (GOOG1322W710-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 710.00 (GOOG1322K710-S),0.0,0.0,319.80,323.90,0,0,13 Nov 710.00 (GOOG1322W710-S),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-X),0.0,0.0,319.80,323.50,0,0,13 Nov 710.00 (GOOG1322W710-X),0.0,0.0,0.0,1.70,0,0,
13 Nov 710.00 (GOOG1322K710-Y),0.0,0.0,319.30,323.90,0,0,13 Nov 710.00 (GOOG1322W710-Y),0.0,0.0,0.0,1.70,0,0,
13 Nov 715.00 (GOOG1322K715),0.0,0.0,314.80,318.10,0,0,13 Nov 715.00 (GOOG1322W715),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-4),0.0,0.0,314.80,318.90,0,0,13 Nov 715.00 (GOOG1322W715-4),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-8),0.0,0.0,314.80,318.90,0,0,13 Nov 715.00 (GOOG1322W715-8),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-A),0.0,0.0,0.0,0.0,0,0,13 Nov 715.00 (GOOG1322W715-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 715.00 (GOOG1322K715-B),0.0,0.0,314.80,318.10,0,0,13 Nov 715.00 (GOOG1322W715-B),0.0,0.0,0.0,1.75,0,0,
13 Nov 715.00 (GOOG1322K715-E),0.0,0.0,314.80,318.40,0,0,13 Nov 715.00 (GOOG1322W715-E),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-I),0.0,0.0,314.80,318.90,0,0,13 Nov 715.00 (GOOG1322W715-I),0.0,0.0,0.0,4.80,0,0,
13 Nov 715.00 (GOOG1322K715-J),0.0,0.0,314.30,318.50,0,0,13 Nov 715.00 (GOOG1322W715-J),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-O),0.0,0.0,314.80,318.50,0,0,13 Nov 715.00 (GOOG1322W715-O),0.0,0.0,0.0,2.55,0,0,
13 Nov 715.00 (GOOG1322K715-P),0.0,0.0,0.0,0.0,0,0,13 Nov 715.00 (GOOG1322W715-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 715.00 (GOOG1322K715-S),0.0,0.0,314.80,318.90,0,0,13 Nov 715.00 (GOOG1322W715-S),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-X),0.0,0.0,314.80,318.40,0,0,13 Nov 715.00 (GOOG1322W715-X),0.0,0.0,0.0,0.35,0,0,
13 Nov 715.00 (GOOG1322K715-Y),0.0,0.0,314.30,318.90,0,0,13 Nov 715.00 (GOOG1322W715-Y),0.0,0.0,0.0,0.35,0,0,
13 Nov 720.00 (GOOG1322K720),0.0,0.0,309.80,313.10,0,0,13 Nov 720.00 (GOOG1322W720),0.05,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-4),0.0,0.0,309.80,313.90,0,0,13 Nov 720.00 (GOOG1322W720-4),0.0,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-8),0.0,0.0,309.80,313.90,0,0,13 Nov 720.00 (GOOG1322W720-8),0.05,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-A),0.0,0.0,0.0,0.0,0,0,13 Nov 720.00 (GOOG1322W720-A),0.0,0.0,0.0,0.0,0,3,
13 Nov 720.00 (GOOG1322K720-B),0.0,0.0,309.80,313.10,0,0,13 Nov 720.00 (GOOG1322W720-B),0.0,0.0,0.0,0.40,0,3,
13 Nov 720.00 (GOOG1322K720-E),0.0,0.0,309.80,313.40,0,0,13 Nov 720.00 (GOOG1322W720-E),0.0,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-I),0.0,0.0,309.80,313.90,0,0,13 Nov 720.00 (GOOG1322W720-I),0.0,0.0,0.0,4.80,0,3,
13 Nov 720.00 (GOOG1322K720-J),0.0,0.0,309.30,313.50,0,0,13 Nov 720.00 (GOOG1322W720-J),0.0,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-O),0.0,0.0,309.80,313.50,0,0,13 Nov 720.00 (GOOG1322W720-O),0.0,0.0,0.0,2.55,0,3,
13 Nov 720.00 (GOOG1322K720-P),0.0,0.0,0.0,0.0,0,0,13 Nov 720.00 (GOOG1322W720-P),0.0,0.0,0.0,0.0,0,3,
13 Nov 720.00 (GOOG1322K720-S),0.0,0.0,309.80,313.90,0,0,13 Nov 720.00 (GOOG1322W720-S),0.0,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-X),0.0,0.0,309.80,313.40,0,0,13 Nov 720.00 (GOOG1322W720-X),0.0,0.0,0.0,0.35,0,3,
13 Nov 720.00 (GOOG1322K720-Y),0.0,0.0,308.90,313.90,0,0,13 Nov 720.00 (GOOG1322W720-Y),0.0,0.0,0.0,0.35,0,3,
13 Nov 725.00 (GOOG1322K725),0.0,0.0,304.80,308.10,0,0,13 Nov 725.00 (GOOG1322W725),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-4),0.0,0.0,304.80,308.90,0,0,13 Nov 725.00 (GOOG1322W725-4),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-8),0.0,0.0,304.80,308.70,0,0,13 Nov 725.00 (GOOG1322W725-8),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-A),0.0,0.0,0.0,0.0,0,0,13 Nov 725.00 (GOOG1322W725-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 725.00 (GOOG1322K725-B),0.0,0.0,304.80,308.10,0,0,13 Nov 725.00 (GOOG1322W725-B),0.0,0.0,0.0,0.25,0,0,
13 Nov 725.00 (GOOG1322K725-E),0.0,0.0,304.30,308.70,0,0,13 Nov 725.00 (GOOG1322W725-E),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-I),0.0,0.0,304.80,308.70,0,0,13 Nov 725.00 (GOOG1322W725-I),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-J),0.0,0.0,304.30,308.50,0,0,13 Nov 725.00 (GOOG1322W725-J),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-O),0.0,0.0,304.80,308.50,0,0,13 Nov 725.00 (GOOG1322W725-O),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-P),0.0,0.0,0.0,0.0,0,0,13 Nov 725.00 (GOOG1322W725-P),0.0,0.0,0.0,0.0,0,0,
13 Nov 725.00 (GOOG1322K725-S),0.0,0.0,304.80,308.90,0,0,13 Nov 725.00 (GOOG1322W725-S),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-X),0.0,0.0,304.80,308.50,0,0,13 Nov 725.00 (GOOG1322W725-X),0.0,0.0,0.0,0.20,0,0,
13 Nov 725.00 (GOOG1322K725-Y),0.0,0.0,304.30,308.90,0,0,13 Nov 725.00 (GOOG1322W725-Y),0.0,0.0,0.0,0.20,0,0,
13 Nov 730.00 (GOOG1322K730),0.0,0.0,299.80,303.10,0,0,13 Nov 730.00 (GOOG1322W730),0.0,0.0,0.0,0.25,0,0,
13 Nov 730.00 (GOOG1322K730-4),0.0,0.0,299.80,303.90,0,0,13 Nov 730.00 (GOOG1322W730-4),0.0,0.0,0.0,0.25,0,0,
13 Nov 730.00 (GOOG1322K730-8),0.0,0.0,299.80,303.40,0,0,13 Nov 730.00 (GOOG1322W730-8),0.0,0.0,0.0,0.25,0,0,
13 Nov 730.00 (GOOG1322K730-A),0.0,0.0,0.0,0.0,0,0,13 Nov 730.00 (GOOG1322W730-A),0.0,0.0,0.0,0.0,0,0,
13 Nov 730.00 (GOOG1322K730-B),0.0,0.0,299.80,303.10,0,0,13 Nov 730.00 (GOOG1322W730-B),0.0,0.0,0.0,0.30,0,0,
